Hour,Active_Users,CPU_Usage (%),Memory_Usage (%),Datetime,Weekday,DayOfMonth,WeekOfMonth,Is_Business_Hours,Has_Event,Event_Payroll,Event_Tax,Event_EoM,Event_Risk_Score,Event_Day_Proximity_Hours,Active_Users_Lag1,Active_Users_Trend1,Active_Users_MA3,Active_Users_MA6,Active_Users_PctChange1,CPU_Usage (%)_Lag1,CPU_Usage (%)_Trend1,CPU_Usage (%)_MA3,CPU_Usage (%)_MA6,CPU_Usage (%)_PctChange1,Memory_Usage (%)_Lag1,Memory_Usage (%)_Trend1,Memory_Usage (%)_MA3,Memory_Usage (%)_MA6,Memory_Usage (%)_PctChange1,Saturation_Max,Saturation_HMean,Queue_Pressure,Scaling_Action,Scaling_Next_1h
0.0,89,38.66,23.41,2025-06-13 00:00:00,4.0,13.0,2.0,0,0,0,0,0,0.0,58.0,66.0,23.0,75.0,81.16666666666667,0.3484848484848484,18.88,19.779999999999998,28.739999999999995,30.590000000000003,1.0,22.39,1.0199999999999996,25.803333333333324,25.68166666666666,0.045556051808843145,38.66,29.161610646663274,1,0,0
1.0,79,38.39,22.01,2025-06-13 01:00:00,4.0,13.0,2.0,0,0,0,0,0,0.0,57.0,89.0,-10.0,78.0,79.33333333333333,-0.1123595505617978,38.66,-0.269999999999996,31.97666666666666,31.84166666666667,-0.006983962752198591,23.41,-1.3999999999999986,22.603333333333325,27.41,-0.05980350277659119,38.39,27.978936655977872,0,0,0
2.0,61,20.8,19.82,2025-06-13 02:00:00,4.0,13.0,2.0,0,0,0,0,0,0.0,56.0,79.0,-18.0,76.33333333333333,77.33333333333333,-0.22784810126582278,38.39,-17.59,32.61666666666667,29.956666666666667,-0.4581922375618651,22.01,-2.1900000000000013,21.74666666666666,24.71666666666667,-0.09950022716946849,20.8,20.29817778684939,0,0,0
3.0,83,40.8,37.72,2025-06-13 03:00:00,4.0,13.0,2.0,0,0,0,0,0,0.0,55.0,61.0,22.0,74.33333333333333,74.66666666666667,0.360655737704918,20.8,19.999999999999996,33.33,31.035,0.9615384615384612,19.82,17.9,26.516666666666662,26.159999999999997,0.9031281533804236,40.8,39.19959198676017,1,0,0
4.0,82,9.37,26.0,2025-06-13 04:00:00,4.0,13.0,2.0,0,0,0,0,0,0.0,54.0,83.0,-1.0,75.33333333333333,76.66666666666667,-0.012048192771084376,40.8,-31.43,23.656666666666666,27.816666666666666,-0.770343137254902,37.72,-11.719999999999999,27.84666666666666,25.224999999999998,-0.31071049840933185,26.0,13.775515641065434,0,0,0
5.0,82,16.88,20.9,2025-06-13 05:00:00,4.0,13.0,2.0,0,0,0,0,0,0.0,53.0,82.0,0.0,82.33333333333333,79.33333333333333,0.0,9.37,7.51,22.349999999999998,27.483333333333334,0.8014941302027749,26.0,-5.100000000000001,28.20666666666666,24.97666666666667,-0.19615384615384623,20.9,18.67612449242656,0,0,0
6.0,89,34.26,49.18,2025-06-13 06:00:00,4.0,13.0,2.0,0,0,0,0,0,0.0,52.0,82.0,7.0,84.33333333333333,79.33333333333333,0.08536585365853666,16.88,17.38,20.169999999999998,26.75,1.0,20.9,28.28,32.026666666666664,29.271666666666665,1.0,49.18,40.38606857159554,1,0,0
7.0,73,40.45,28.25,2025-06-13 07:00:00,4.0,13.0,2.0,0,0,0,0,0,0.0,51.0,89.0,-16.0,81.33333333333333,78.33333333333333,-0.1797752808988764,34.26,6.190000000000005,30.53,27.093333333333334,0.18067717454757748,49.18,-20.93,32.776666666666664,30.311666666666667,-0.4255795038633591,40.45,33.26673899175053,0,0,0
8.0,67,28.43,21.68,2025-06-13 08:00:00,4.0,13.0,2.0,0,0,0,0,0,0.0,50.0,73.0,-6.0,76.33333333333333,79.33333333333333,-0.0821917808219178,40.45,-12.020000000000003,34.38,28.365,-0.29715698393077883,28.25,-6.57,33.03666666666666,30.621666666666666,-0.23256637168141592,28.43,24.600374723600584,0,0,0
9.0,66,26.68,22.82,2025-06-13 09:00:00,4.0,13.0,2.0,1,0,0,0,0,0.0,49.0,67.0,-1.0,68.66666666666667,76.5,-0.014925373134328401,28.43,-1.75,31.853333333333335,26.011666666666667,-0.061554695743932464,21.68,1.1400000000000006,24.249999999999996,28.138333333333332,0.05258302583025842,26.68,24.599498533343464,0,0,0
10.0,67,32.04,24.32,2025-06-13 10:00:00,4.0,13.0,2.0,1,0,0,0,0,0.0,48.0,66.0,1.0,66.66666666666667,74.0,0.015151515151515138,26.68,5.359999999999999,29.05,29.790000000000003,0.2008995502248876,22.82,1.5,22.939999999999998,27.85833333333333,0.06573181419807184,32.04,27.65126994940969,1,0,0
11.0,99,42.65,37.06,2025-06-13 11:00:00,4.0,13.0,2.0,1,0,0,0,0,0.0,49.0,67.0,32.0,77.33333333333333,76.83333333333333,0.4776119402985075,32.04,10.61,33.79,34.085,0.3311485642946317,24.32,12.740000000000002,28.066666666666663,30.551666666666666,0.5238486842105263,42.65,39.65898836207517,1,0,0
12.0,73,12.86,21.03,2025-06-13 12:00:00,4.0,13.0,2.0,1,0,0,0,0,0.0,48.0,99.0,-26.0,79.66666666666667,74.16666666666667,-0.26262626262626265,42.65,-29.79,29.183333333333326,30.518333333333334,-0.6984759671746776,37.06,-16.03,27.47,25.86,-0.43254182406907715,21.03,15.960212040123578,0,0,0
13.0,84,18.49,29.72,2025-06-13 13:00:00,4.0,13.0,2.0,1,0,0,0,0,0.0,49.0,73.0,11.0,85.33333333333333,76.0,0.15068493150684925,12.86,5.629999999999999,24.666666666666668,26.85833333333333,0.437791601866252,21.03,8.689999999999998,29.269999999999996,26.105,0.4132192106514503,29.72,22.797045824579016,1,0,0
